LandCover_5_Shrubs,x,y
0.0,96.04167435,3.54166694999999
51.0,159.79167945,54.37500435
0.0,121.45834305,-3.54166695000001
0.0,11.87500095,46.87500375
22.0,101.45834145,17.70833475
0.0,102.29167485,16.87500135
0.0,26.45833545,39.37500315
0.0,105.20834175,2.70833354999999
73.0,-106.87500855,29.79166905
0.0,103.12500825,4.79166705
0.0,127.70834355,-32.29166925
6.0,139.37501115,-8.12500065
0.0,116.04167595,-31.87500255
0.0,25.62500205,41.87500335
3.0,100.62500805,24.37500195
0.0,155.20834575,-7.70833395
0.0,133.54167735,-32.70833595
0.0,-4.79166705,53.12500425
82.0,114.37500915,-27.29166885
19.0,116.87500935,0.625000049999997
12.0,116.45834265,-32.70833595
40.0,-104.37500835,23.54166855
0.0,96.87500775,22.29166845
23.0,-5.20833375000001,35.20833615
0.0,116.04167595,4.79166705
0.0,167.29168005,-21.45833505
0.0,118.95834285,-3.12500025
0.0,-102.70834155,21.45833505
6.0,141.04167795,-17.29166805
31.0,141.87501135,-8.95833405
